word	rt.g1.n	rt.g1.m	rt.g1.se	rt.g2.n	rt.g2.m	rt.g2.se	rt.g3.n	rt.g3.m	rt.g3.se	rt.g4.n	rt.g4.m	rt.g4.se	rt.g6.n	rt.g6.m	rt.g6.se	rt.ya.n	rt.ya.m	rt.ya.se	rt.oa.n	rt.oa.m	rt.oa.se
Vogel	13	2153	222	23	1367	123	23	951	74	21	736	55	29	687	39	21	556	27	20	625	29
Volk	NA	NA	NA	8	1969	236	13	1439	133	16	1152	93	24	839	51	20	537	27	19	663	31
voll	NA	NA	NA	22	1581	144	19	1051	87	22	931	69	28	689	40	22	526	25	20	651	30
vorsichtig	NA	NA	NA	19	2653	252	22	1465	116	20	1126	86	28	790	46	22	605	29	20	751	34
Vortag	NA	NA	NA	9	2299	267	15	1434	127	11	1324	119	24	889	54	19	591	30	19	804	37
Vulkan	10	3761	415	14	1968	203	16	1214	105	18	1027	80	25	829	50	18	615	31	21	718	33
wach	NA	NA	NA	21	1664	154	19	1399	115	18	953	75	27	792	46	18	576	29	19	693	32
wachsen	NA	NA	NA	16	2354	234	19	1456	120	19	1017	78	28	800	46	21	572	28	19	685	32
wackeln	NA	NA	NA	13	1983	209	17	1344	114	20	1090	83	27	819	48	20	627	31	21	727	33
Waffe	NA	NA	NA	15	1895	192	18	1407	118	21	950	71	30	759	43	22	517	25	20	659	30
Wagen	13	3028	312	18	1898	183	18	1320	111	18	971	76	25	763	46	20	555	28	20	643	30
Wahl	14	2774	280	21	1928	178	21	1143	91	18	1073	84	27	742	43	21	543	27	20	669	31
Wahrheit	14	4253	430	20	2522	236	17	1423	121	16	1122	91	27	796	47	22	558	27	20	658	30
Wal	12	2710	285	16	1532	152	16	1005	87	14	999	84	24	778	47	17	572	30	18	754	36
Wald	13	2419	250	25	1427	126	20	1144	93	20	844	64	26	670	40	22	500	24	20	636	29
Wall	NA	NA	NA	15	1833	185	14	1351	122	15	1028	85	23	867	53	15	544	29	19	753	35
Wand	15	2811	279	22	1492	136	16	1385	120	20	902	69	29	710	41	22	537	26	20	675	31
Wanne	18	3131	297	18	1709	165	19	1202	99	20	998	76	30	755	43	18	539	27	20	645	30
Ware	NA	NA	NA	8	2442	293	14	1299	117	12	1135	100	21	1066	67	18	612	31	19	696	32
warm	NA	NA	NA	21	1676	155	22	1183	93	20	934	71	30	753	43	20	548	27	19	655	30
Wärme	17	3034	292	18	1816	175	20	1158	94	23	1043	76	25	748	45	21	553	27	21	661	30
warnen	NA	NA	NA	16	2241	223	16	1457	126	19	1185	91	21	940	59	20	554	28	21	700	32
warten	NA	NA	NA	16	1610	160	20	1300	106	22	987	73	25	764	46	21	572	28	21	658	30
waschen	NA	NA	NA	22	1769	162	18	1314	110	19	1034	80	30	759	43	22	553	27	20	689	32
Wasser	17	2591	249	21	1337	124	22	969	77	22	873	65	28	630	36	21	529	26	20	635	29
Weg	15	2355	234	23	1150	104	21	896	72	20	831	63	30	685	39	20	517	26	20	648	30
weich	NA	NA	NA	18	1595	154	19	1134	94	20	874	66	27	719	42	20	568	28	21	663	30
Wein	14	2820	285	17	1482	145	20	1112	90	19	815	63	28	744	43	21	523	26	20	660	30
weinen	NA	NA	NA	18	1901	183	22	1340	105	17	1056	84	26	776	46	20	555	28	21	708	32
weiß	NA	NA	NA	23	1443	130	19	1105	91	21	955	71	30	709	40	22	580	28	19	638	30
weit	NA	NA	NA	20	1670	156	19	1103	91	22	1017	75	28	780	45	20	596	30	19	692	32
Welle	14	2980	301	16	1688	168	17	1176	100	21	992	74	26	811	48	21	552	27	20	646	30
Welpe	7	3227	389	19	1997	190	17	1501	128	20	1130	86	27	860	50	20	634	31	17	746	36
Welt	12	2919	307	24	1539	138	19	968	80	20	873	66	29	691	40	19	529	27	19	656	30
Weltkugel	NA	NA	NA	15	2538	257	20	1714	139	20	1325	101	28	968	56	22	605	29	20	727	33
Weltraum	17	3992	384	22	2230	204	17	1563	133	18	1009	79	29	813	47	22	595	29	20	718	33
werfen	NA	NA	NA	18	1980	191	21	1252	100	23	977	71	27	779	46	21	612	30	19	741	34
Werkzeug	NA	NA	NA	19	2364	224	19	1516	125	19	1029	79	29	812	46	22	555	27	20	669	31
Weste	9	3669	416	16	2318	230	17	1360	116	17	1071	85	25	747	45	20	573	28	20	673	31
wetten	NA	NA	NA	15	2101	212	16	1403	122	19	1150	89	26	793	47	20	551	27	20	680	31
Wetter	18	2867	272	20	1606	150	21	1116	89	21	938	70	30	637	36	22	531	26	20	640	29
Wiese	15	2936	292	20	1516	142	18	1274	106	20	975	74	29	731	42	22	548	27	20	653	30
wild	NA	NA	NA	16	1525	152	17	1223	104	17	1007	80	26	747	44	21	573	28	19	652	30
Wind	17	2557	246	19	1468	139	19	973	80	19	1008	78	28	681	39	21	537	26	21	658	30
Winter	16	2993	293	24	1631	146	19	1155	95	20	909	69	29	716	41	21	508	25	20	654	30
wirklich	NA	NA	NA	23	2213	200	18	1304	109	19	1074	83	29	741	42	20	544	27	20	684	31
Wirt	NA	NA	NA	9	2135	248	13	1494	137	15	987	81	16	856	58	20	628	31	20	679	31
wissen	NA	NA	NA	18	1496	144	19	1203	99	21	1041	78	31	694	39	22	534	26	19	659	31
Witwe	NA	NA	NA	9	2792	324	9	1705	175	10	1384	128	14	1037	73	20	611	30	21	678	31
Witz	15	2699	268	18	1744	168	21	1146	91	19	878	68	27	721	42	20	565	28	20	667	31
Woche	13	2704	279	17	1443	141	19	939	77	19	870	67	27	708	41	21	522	26	20	646	30
wohnen	NA	NA	NA	19	1967	187	21	1176	94	21	1028	77	27	683	40	20	572	28	20	657	30
Wohnung	9	3171	359	19	1985	188	22	1287	101	20	940	71	27	725	42	21	532	26	19	644	30
Wolf	16	2746	268	18	1479	142	23	1066	83	17	854	68	27	656	38	21	533	26	20	623	29
Wolke	17	2891	278	23	1607	145	19	1083	89	20	951	72	28	713	41	20	558	28	20	659	30
Wolle	12	2881	303	17	1932	189	18	1188	99	19	1021	79	25	708	42	21	551	27	19	661	31
Wort	19	2657	249	24	1510	135	21	1062	85	19	885	68	29	679	39	22	515	25	20	655	30
Wunde	16	3370	329	14	2010	207	18	1419	118	20	1104	84	27	730	43	20	574	28	21	658	30
Wunsch	15	3142	312	20	1721	161	20	1239	101	19	998	77	27	777	45	21	592	29	20	658	30
wünschen	NA	NA	NA	20	1965	184	20	1475	120	19	1108	85	27	800	47	21	617	30	21	687	31
Wurm	16	2904	284	18	1640	158	22	1058	83	19	932	72	26	740	44	21	544	27	20	665	31
Wurzel	12	3470	365	17	1890	185	20	1217	99	22	1015	75	28	785	45	21	567	28	20	680	31
Wut	NA	NA	NA	18	1613	155	18	1077	90	20	996	76	27	741	43	21	555	27	20	692	32
Zahl	16	2737	267	19	1425	135	20	1115	90	18	921	72	26	690	41	21	553	27	21	642	29
zahlen	NA	NA	NA	19	1724	164	20	1188	96	19	1130	87	28	715	41	21	563	28	21	704	32
zählen	NA	NA	NA	20	1795	168	21	1146	91	19	990	76	27	745	44	21	562	28	20	659	30
Zahn	16	2800	274	20	1475	138	19	1013	84	23	897	65	29	708	41	22	565	27	19	683	32
Zahnbürste	NA	NA	NA	20	2447	229	22	1587	125	21	1201	90	29	843	48	22	561	27	20	692	32
zanken	NA	NA	NA	14	2174	224	9	1483	152	20	1254	95	17	926	62	11	612	35	17	704	34
Zauberer	17	3222	310	23	2252	203	16	1272	110	20	1152	87	26	797	47	20	618	31	20	678	31
Zaun	18	2784	264	20	1623	152	21	1072	86	18	1020	80	24	802	49	19	563	28	21	719	33
Zeh	NA	NA	NA	20	1878	176	14	1571	142	18	1159	91	24	876	53	17	630	33	17	702	34
Zeichnung	NA	NA	NA	17	2277	223	20	1315	107	19	1067	82	25	773	46	21	559	27	21	680	31
zeigen	NA	NA	NA	16	1625	162	22	1154	91	21	1049	79	28	724	42	21	554	27	19	660	31
Zeit	12	2478	261	17	1430	140	19	975	80	18	834	65	28	660	38	21	541	26	19	646	30
Zeitraum	15	4137	411	20	2533	237	16	1943	168	20	1334	101	28	849	49	22	580	28	20	699	32
Zettel	17	3612	348	21	1973	182	18	1270	106	22	1045	77	29	761	44	21	578	28	19	687	32
Zeug	12	3442	362	16	2121	211	19	1147	94	17	954	76	26	791	47	20	590	29	21	669	30
Ziege	17	2713	261	22	1706	156	18	1290	108	17	983	78	29	753	43	21	528	26	20	649	30
ziehen	NA	NA	NA	19	2015	191	18	1361	114	23	944	69	30	776	44	22	552	27	20	690	32
Ziel	14	2997	303	23	1643	148	17	989	84	19	874	67	27	699	41	20	543	27	20	670	31
Zimmer	15	2441	243	18	1467	141	18	1068	89	17	838	67	27	687	40	21	534	26	20	650	30
Zirkus	15	3213	319	18	1711	165	22	1131	89	21	904	68	28	733	42	21	563	28	20	652	30
Zitrone	NA	NA	NA	19	1819	173	20	1358	110	20	1030	78	30	750	43	22	561	27	20	671	31
Zoo	15	1656	165	23	1177	106	21	886	71	22	837	62	29	665	38	21	524	26	20	670	31
Zucker	14	2563	259	16	1785	177	21	1078	86	20	792	60	27	722	42	20	524	26	21	628	28
Zug	16	2406	235	21	1372	127	21	979	78	23	945	69	30	697	40	22	529	26	20	667	31
zuhören	NA	NA	NA	24	2101	188	17	1342	114	19	1104	85	30	784	44	22	584	28	20	694	32
Zukunft	NA	NA	NA	23	2298	208	19	1219	100	23	1019	74	31	796	45	22	545	26	20	659	30
Zunge	14	2458	249	17	1770	173	19	1283	105	21	984	74	27	809	47	21	581	28	20	637	29
Zwerg	17	3413	328	21	1667	154	20	1087	88	20	963	73	27	718	42	20	573	28	20	658	30
Zwiebel	15	3848	382	22	1926	176	16	1418	123	17	987	79	27	771	45	21	546	27	20	675	31
Zwilling	13	4394	453	21	2053	190	18	1354	113	17	1048	83	28	832	48	21	590	29	20	717	33
