word	on.g1.n	on.g1.m	on.g1.se	on.g2.n	on.g2.m	on.g2.se	on.g3.n	on.g3.m	on.g3.se	on.g4.n	on.g4.m	on.g4.se	on.g6.n	on.g6.m	on.g6.se	on.ya.n	on.ya.m	on.ya.se	on.oa.n	on.oa.m	on.oa.se
Woche	17	1140	93	7	924	90	14	704	45	6	632	50	19	546	32	21	391	15	18	465	23
wohnen	NA	NA	NA	10	991	98	20	748	48	11	691	55	19	566	33	21	410	16	18	469	23
Wohnung	15	1200	98	9	969	91	22	785	51	10	684	53	19	573	33	19	402	15	18	480	25
Wolf	8	1110	89	10	937	83	20	743	47	8	641	48	19	537	31	19	394	15	19	464	24
Wolke	17	1052	83	9	905	85	20	701	45	10	697	56	20	571	32	21	408	15	18	474	24
Wolle	14	1037	83	13	916	82	21	739	49	10	644	50	18	599	34	21	387	14	18	474	24
Wort	11	1053	82	14	921	84	19	690	44	11	612	49	20	562	32	22	401	15	17	464	23
Wunde	13	1072	84	15	1085	103	18	717	46	10	691	57	20	586	34	21	388	15	19	476	24
Wunsch	13	1218	94	8	1053	102	19	760	48	9	666	54	20	561	33	20	404	15	16	495	25
wünschen	NA	NA	NA	8	1041	95	20	854	56	10	786	61	20	609	35	21	410	15	18	464	23
Wurm	15	1037	78	10	961	86	18	722	46	10	656	50	17	582	33	22	398	15	19	480	24
Wurzel	19	1287	105	11	945	85	22	803	55	13	741	59	18	574	33	22	416	16	19	494	25
Wut	NA	NA	NA	6	949	92	19	671	43	10	662	54	19	552	31	21	423	16	18	468	24
Zahl	14	1081	81	9	859	83	19	672	42	10	669	50	19	553	32	21	385	14	18	437	22
zahlen	NA	NA	NA	10	1052	100	19	759	48	10	662	52	19	592	34	20	378	14	18	443	22
zählen	NA	NA	NA	11	955	89	19	799	52	9	696	55	20	608	35	21	391	15	18	429	21
Zahn	17	1195	94	8	871	86	19	684	45	10	626	49	18	560	32	19	391	15	18	453	23
Zahnbürste	NA	NA	NA	11	1108	106	21	874	57	12	778	59	18	681	40	21	396	15	18	480	24
zanken	NA	NA	NA	11	930	116	20	808	56	7	753	59	19	612	35	21	396	15	18	453	23
Zauberer	17	1132	88	9	945	88	19	702	46	7	684	58	19	610	35	19	394	15	18	452	23
Zaun	12	1063	80	9	895	81	22	680	44	13	609	47	18	573	33	21	403	15	19	459	23
Zeh	NA	NA	NA	13	983	100	20	746	51	12	699	55	19	590	34	21	391	15	17	445	22
Zeichnung	NA	NA	NA	10	1067	106	18	828	54	10	743	59	16	626	36	21	384	14	18	456	23
zeigen	NA	NA	NA	14	895	83	18	745	51	10	663	52	20	567	33	22	378	14	19	442	22
Zeit	12	1031	77	10	860	84	21	672	43	9	644	52	18	580	34	21	385	15	16	445	22
Zeitraum	15	1178	90	8	1034	102	17	872	57	10	776	63	20	631	36	21	403	15	18	467	24
Zettel	15	1188	94	11	1058	116	21	798	55	9	742	59	19	566	32	19	401	15	18	450	23
Zeug	16	1119	87	11	901	94	22	647	41	13	644	49	20	549	31	22	382	14	19	450	22
Ziege	8	1037	79	15	872	82	17	738	47	10	649	54	18	599	34	20	386	15	19	445	22
ziehen	NA	NA	NA	12	962	93	20	752	49	11	659	52	18	609	35	20	382	14	18	461	23
Ziel	17	1150	89	8	949	94	20	663	43	10	621	50	19	586	34	21	371	14	18	448	23
Zimmer	15	1072	81	6	857	80	21	691	43	10	655	49	18	557	32	22	376	14	18	467	23
Zirkus	11	1146	90	12	1037	93	19	709	47	11	706	55	20	650	38	21	399	15	18	466	23
Zitrone	NA	NA	NA	14	1041	95	17	757	49	11	641	49	20	610	35	22	389	15	17	442	22
Zoo	8	907	67	7	849	86	18	648	42	10	651	51	20	556	32	19	370	14	18	449	23
Zucker	12	1076	90	15	964	92	21	688	44	13	655	52	19	549	32	20	395	15	18	437	22
Zug	10	988	76	13	807	78	21	652	42	11	671	53	20	583	33	22	393	15	18	425	21
zuhören	NA	NA	NA	8	1211	110	21	856	55	8	712	58	20	614	36	21	393	15	18	472	24
Zukunft	NA	NA	NA	10	1094	111	22	785	53	11	711	57	17	594	34	20	405	15	19	463	24
Zunge	16	1132	101	7	942	93	20	718	47	10	670	53	20	556	32	21	384	14	18	458	23
Zwerg	13	1225	98	10	968	86	20	762	50	9	620	48	20	583	33	21	379	14	18	442	22
Zwiebel	14	1184	103	13	1015	94	21	737	47	11	709	57	20	603	35	19	387	15	16	461	23
Zwilling	18	1262	103	16	1200	125	23	879	60	13	716	61	20	636	36	20	404	15	19	482	24
